INFO 2024-12-26 20:03:20,076 autoreload Watching for file changes with StatReloader
INFO 2024-12-26 20:03:32,023 basehttp "GET /scraper/processes/initiate/ HTTP/1.1" 200 20271
INFO 2024-12-26 20:03:36,328 basehttp "GET /scraper/products/ HTTP/1.1" 200 55890
INFO 2024-12-26 20:04:05,322 basehttp "GET /scraper/ajax/products/operation/sse?operation=delete&ids=208,207,206,205,204,203,202,201,200,199 HTTP/1.1" 200 2587
INFO 2024-12-26 20:04:05,508 basehttp "GET /scraper/products/ HTTP/1.1" 200 55882
INFO 2024-12-26 20:04:28,379 basehttp "GET /scraper/ajax/products/operation/sse?operation=delete&ids=198,197,196,195,194,192,191,190,189,188 HTTP/1.1" 200 2587
INFO 2024-12-26 20:04:28,593 basehttp "GET /scraper/products/ HTTP/1.1" 200 54614
INFO 2024-12-26 20:04:31,436 basehttp "GET /scraper/processes/initiate/ HTTP/1.1" 200 20271
INFO 2024-12-26 20:04:44,700 scraping_processor Processing product with SKU: printable-842188
INFO 2024-12-26 20:04:44,716 scraping_processor License created for product printable-842188
INFO 2024-12-26 20:04:44,724 scraping_processor Thumbnail created for product printable-842188
INFO 2024-12-26 20:04:44,730 scraping_processor Page screenshot created for product printable-842188
INFO 2024-12-26 20:04:44,738 scraping_processor Product earth saved successfully.
INFO 2024-12-26 20:04:44,747 scraping_processor Gallery images saved for product printable-842188
INFO 2024-12-26 20:04:45,253 scraping_processor Processing product with SKU: printable-580129
INFO 2024-12-26 20:04:45,267 scraping_processor License created for product printable-580129
INFO 2024-12-26 20:04:45,276 scraping_processor Thumbnail created for product printable-580129
INFO 2024-12-26 20:04:45,285 scraping_processor Page screenshot created for product printable-580129
INFO 2024-12-26 20:04:45,296 scraping_processor Product Earth saved successfully.
INFO 2024-12-26 20:04:45,318 scraping_processor Gallery images saved for product printable-580129
INFO 2024-12-26 20:04:45,829 scraping_processor Processing product with SKU: printable-3403
INFO 2024-12-26 20:04:45,839 scraping_processor License created for product printable-3403
INFO 2024-12-26 20:04:45,849 scraping_processor Thumbnail created for product printable-3403
INFO 2024-12-26 20:04:45,857 scraping_processor Page screenshot created for product printable-3403
INFO 2024-12-26 20:04:45,865 scraping_processor Product Earth saved successfully.
INFO 2024-12-26 20:04:45,880 scraping_processor Gallery images saved for product printable-3403
INFO 2024-12-26 20:04:47,876 scraping_processor Processing product with SKU: stlflix-exploration-globe-wall-light
INFO 2024-12-26 20:04:47,895 scraping_processor Thumbnail created for product stlflix-exploration-globe-wall-light
INFO 2024-12-26 20:04:47,903 scraping_processor Product Exploration Globe Wall Light saved successfully.
INFO 2024-12-26 20:04:47,978 scraping_processor Gallery images saved for product stlflix-exploration-globe-wall-light
INFO 2024-12-26 20:04:48,487 scraping_processor Processing product with SKU: stlflix-back-to-earth-planter
INFO 2024-12-26 20:04:48,505 scraping_processor Thumbnail created for product stlflix-back-to-earth-planter
INFO 2024-12-26 20:04:48,519 scraping_processor Product Back to Earth Planter saved successfully.
INFO 2024-12-26 20:04:48,616 scraping_processor Gallery images saved for product stlflix-back-to-earth-planter
INFO 2024-12-26 20:04:49,121 scraping_processor Processing product with SKU: stlflix-earth-guardian-key-holder-male
INFO 2024-12-26 20:04:49,137 scraping_processor Thumbnail created for product stlflix-earth-guardian-key-holder-male
INFO 2024-12-26 20:04:49,148 scraping_processor Product Earth Guardian Key Holder - Male saved successfully.
INFO 2024-12-26 20:04:49,202 scraping_processor Gallery images saved for product stlflix-earth-guardian-key-holder-male
INFO 2024-12-26 20:04:49,722 basehttp "GET /scraper/ajax/products/scraping/sse?csrfmiddlewaretoken=rhyy0MdVa5i7KUDOOY1WH97LJRGqp80ySy5kpDNomBNZ4wC99r1aXFxdKnjYeQd7&search_query=earth&max_records=3&source_websites=1&source_websites=2 HTTP/1.1" 200 1447
INFO 2024-12-26 20:04:51,893 basehttp "GET /scraper/products/ HTTP/1.1" 200 54531
INFO 2024-12-26 20:05:33,953 basehttp "GET /scraper/products/214/ HTTP/1.1" 200 32882
INFO 2024-12-26 20:06:00,915 basehttp "GET /scraper/products/ HTTP/1.1" 200 54531
INFO 2024-12-27 00:59:26,897 basehttp "GET / HTTP/1.1" 200 25867
INFO 2024-12-27 00:59:30,088 basehttp "GET /static/volt/volt/assets/js/volt.js HTTP/1.1" 304 0
INFO 2024-12-27 00:59:39,172 basehttp "GET /scraper/products/ HTTP/1.1" 200 54531
INFO 2024-12-27 00:59:39,362 basehttp "GET /media/website_logos/logo-stlflix-preto.png HTTP/1.1" 304 0
INFO 2024-12-27 00:59:39,441 basehttp "GET /media/website_logos/svgviewer-png-output.png HTTP/1.1" 304 0
INFO 2024-12-27 00:59:41,282 basehttp "GET /settings HTTP/1.1" 200 17756
INFO 2024-12-27 00:59:43,155 basehttp "POST /settings HTTP/1.1" 302 0
INFO 2024-12-27 00:59:43,212 basehttp "GET /settings HTTP/1.1" 200 18106
INFO 2024-12-27 00:59:48,503 basehttp "POST /settings HTTP/1.1" 302 0
INFO 2024-12-27 00:59:48,554 basehttp "GET /settings HTTP/1.1" 200 18106
INFO 2024-12-27 00:59:50,535 basehttp "POST /settings HTTP/1.1" 302 0
INFO 2024-12-27 00:59:50,564 basehttp "GET /settings HTTP/1.1" 200 18111
INFO 2024-12-27 01:06:12,502 autoreload C:\Users\Syed Maaz Hassan\OneDrive\Documents\GitHub\ai-ecom-scraper\software\settings.py changed, reloading.
